Attribute,Description,Valid Values,DependsOn,Required,Properties,Validation Rules,columnType,Format,Pattern,Minimum,Maximum,IsTemplate,Source
SequencingLevel1_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
NGS Sequencing Coverage,Depth of coverage on assembly used. Found by (Unique Aligned Basecalls)/(Reference Length),,,,CDE:11556322,,number,,,,,,
NGS Read Length,"The average length of the sequencing reads. Can be integer, null",,,True,CDE:12426615,,number,,,,,,
NGS Library Selection Method,How nucleic acid molecules are isolated.,"5-methylcytidine antibody, CAGE, rRNA Depletion, cDNA, cDNA oligo_dT, cDNA random priming, CF-H, CF-M, CF-S, CF-T, Poly-T Enrichment, ChIP, DNAse, HMPR, Hybrid Selection, Not applicable, Inverse rRNA, MBD2 protein methyl-CpG binding domain, miRNA Size Fractionation, MDA, MF, MNase, MSLL, Oligo-dT, Other, Padlock probes capture method, PCR, PolyA, RACE, Random, Random PCR, Reduced Representation, Repeat fractionation, Restriction Digest, RT-PCR, Size fractionation, Affinity Enrichment, Unspecified",,,CDE:6347743,,string,,,,,,
NGS Library Strategy,"The assay associated with the nucleic acid library (e.g., RNA-Seq, ChIP-Seq)","AMPLICON, ATAC-seq, Bisulfite-Seq, ChIA-PET, ChIP-Seq, CLONE, CLONEEND, CTS, Spatial-tx, snATAC-Seq, DNase-Hypersensitivity, scMultiome, EST, FAIRE-seq, FINISHING, FL-cDNA, Hi-C, MBD-Seq, MeDIP-Seq, miRNA-Seq, MNase-Seq, MRE-Seq, ncRNA-Seq, Other, POOLCLONE, RAD-Seq, RIP-Seq, RNA-Seq, SELEX, DNA-Seq, ssRNA-seq, Synthetic-Long-Read, Targeted-Capture, Tethered Chromatin Conformation Capture, Tn-Seq, WCS, WGA, WGS, WXS",,True,"CDE:6273393, CRDC_CDE:6273393",,string,,,,,,
NGS Library Source Material,The type of source material being sequenced.,"Bulk Cells, Bulk Tissue, Bulk Nuclei, Single-nuclei, Single-cells, Not Reported",,True,CDE:15235975,,string,,,,,,
NGS Library Layout,"Text description of the library layout, one of Paired-end or Single.","Paired-end, Single-indexed",,True,CDE:11527735,,string,,,,,,
NGS Library Preparation Kit Name,Name of Library Preparation Kit. String,,,,,,string,,,,,,
NGS Library Preparation Kit Vendor,Vendor of Library Preparation Kit. String,,,,,,string,,,,,,
NGS Library Preparation Kit Version,Version of Library Preparation Kit. String,,,,,,string,,,,,,
NGS Sequencing Platform,A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.,"454 GS, 454 GS 20, 454 GS FLX, 454 GS FLX Titanium, 454 GS FLX+, 454 GS Junior, AB 310 Genetic Analyzer, AB 3130 Genetic Analyzer, AB 3130xL Genetic Analyzer, AB 3500 Genetic Analyzer, AB 3500xL Genetic Analyzer, AB 3730 Genetic Analyzer, AB 3730xL Genetic Analyzer, AB 5500 Genetic Analyzer, AB 5500x-Wl Genetic Analyzer, AB 5500xl Genetic Analyzer, AB SOLiD 2, AB SOLiD 3, AB SOLiD 3 Plus System, AB SOLiD 4, AB SOLiD 4hq System, AB SOLiD PI System, AB SOLiD System, BGISEQ-500, Complete Genomics, DNBSEQ-G400, DNBSEQ-G50, DNBSEQ-T7, GridION, Helicos HeliScope, Illumina Genome Analyzer, Illumina Genome Analyzer II, Illumina Genome Analyzer IIx, Illumina HiScanSQ, Illumina HiSeq 1000, Illumina HiSeq 1500, Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 3000, Illumina HiSeq 4000, Illumina HiSeq X Five, Illumina HiSeq X Ten, Illumina iSeq 100, Illumina MiniSeq, Illumina MiSeq, Illumina NextSeq, Illumina NextSeq 2500, Illumina NextSeq 500, Illumina NextSeq 550, Illumina NovaSeq, Illumina NovaSeq 6000, Illumina NovaSeq X Plus, Ion Torrent PGM, Ion Torrent Proton, Ion Torrent S5, Ion Torrent S5 XL, MGISEQ-2000RS, MinION, Not Reported, Other, PacBio RS, PacBio RS II, PacBio Sequel, PacBio Sequel II, PromethION, Ultima Genomics UG100, Unknown",,True,"CDE:6352164, CRDC_CDE:6352164",,string,,,,,,
NGS Sequencing Design Description,Free-form description of the methods used to create the sequencing library; a brief 'materials and methods' section.,,,True,CDE:11529028,,string,,,,,,
NGS Read Indicator,"Indicate if this is Read 1 (R1), Read 2 (R2), Index Reads (I1), or Other","R1, R2, R1&R2, I1, Other",,True,,,string,,,,,,
NGS Library Preparation Days from Index,Number of days between sample for assay was received in lab and the libraries were prepared for sequencing [number]. If not applicable please enter 'Not Applicable',,,,,,string,,\d+$|Not\sApplicable$|unknown$,,,,
NGS Sequencing Library Construction Days from Index,Number of days between sample for assay was received in lab and day of sequencing library construction [number]. If not applicable please enter 'Not Applicable',,,True,,,string,,\d+$|Not\sApplicable$|unknown$,,,,
NGS Unique Bases,Count of unique basecalls present in the data.,,,,,,number,,,,,,
NGS Raw Reads,Reads not yet analyzed in any way to be used for data analysis. The number of reads that pass filter from the flow cell represented in the FASTQ file. ,,,,CDE:11529035,,number,,,,,,
NGS Library Source Molecule,The source of nucleic acids represented in the sequencing library. ,"Genomic DNA, Metagenomic, Metatranscriptomic, Not Reported, Transcriptome, Viral RNA",,True,CDE:15235981,,string,,,,,,
Sequencing Level 2,Sequencing data that has been aligned with a reference genome.,,"SequencingLevel2_id, SequencingLevel1 Key, Filename, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, NGS Library Strategy, NGS Library Source Material, NGS Library Source Molecule, NGS Library Selection Method, NGS Library Layout, NGS Sequencing Platform, NGS Sequencing Design Description, NGS Raw Reads, NGS Stitched Reads, NGS Aligned Reads, NGS Deduplicated Reads, NGS Trimmed Reads, NGS MapQ30, NGS Unique Bases, NGS Read Length, NGS Sequencing Coverage, Genomic Reference, Software and Version",,,,,,,,,True,
SequencingLevel2_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
NGS Stitched Reads,"Represents consensus from the overlapping sequence of read 1 and 2. This is a % of the aligned reads that were overlapped and consensus confirmed, usually upward of 80% but less in terms of number of reads than aligned reads",,,,,,number,,,,,,
NGS Aligned Reads,Is a sequence that has been aligned to a gene/probe. Typically these reads can number from the hundreds of thousands to tens of millions. In GeoMx alignment is via mapping the RTS ID to a white list of sequences that represent targets.,,,,,,number,,,,,,
NGS Deduplicated Reads,Is the replacement of blocks of duplicate data with a Virtual Index Pointer linking the new sub-block to the existing block of data in a duplicate repository. This is used to reduce the amount of space need to store the data.,,,,,,number,,,,,,
NGS Trimmed Reads,Number of the reads remaining after trimming has been applied.,,,,,,number,,,,,,
NGS MapQ30,Number of reads with Quality >= 30.,,,,,,number,,,,,,
Sequencing Level 3,Sequencing data that has been aligned with a reference genome.,,"SequencingLevel3_id, SequencingLevel2 Key, Filename, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, NGS Unique Probe Count, NGS Unique Target Count, NGS Matrix Type, Software and Version, Workflow Type, Workflow Parameter Description, Workflow Link",,,,,,,,,True,
SequencingLevel3_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
NGS Unique Probe Count,Total number of unique probes reported.,,,,,,number,,,,,,
NGS Unique Target Count,Total number of unique genes reported.,,,,,,number,,,,,,
NGS Matrix Type,Type of count data stored in matrix.,"Raw Counts, Normalized Counts, Scaled Counts, Batch Corrected Counts",,,,,string,,,,,,
Sequencing RNA Level 1,Unaligned/unprocessed RNA sequencing data,,"SequencingRNALevel1_id, Filename, Biospecimen Key, Study Key, DatasetView Key, File Alias, File Description, File Design, File Level, Assay, Species, Tissue, Tumor Type, File Url, File Format, Data Use Codes, File Longitudinal Group, File Longitudinal Event Type, File Longitudinal Sequence Identifier, File Longitudinal Time Elapsed Unit, File Longitudinal Total Time Elapsed, NGS Library Strategy, NGS Library Source Material, NGS Library Source Molecule, NGS Library Selection Method, NGS Library Layout, NGS Sequencing Platform, NGS Sequencing Design Description, NGS Read Length, NGS Raw Reads, NGS Unique Bases, NGS Sequencing Coverage, NGS Library Preparation Kit Name, NGS Library Preparation Kit Vendor, NGS Library Preparation Kit Version, NGS Read Indicator, NGS Library Preparation Days from Index, NGS Sequencing Library Construction Days from Index, NGS RNA End Bias, NGS RNA Reverse Transcription Primer, NGS RNA RIN, NGS RNA DV200",,,,,,,,,True,
SequencingRNALevel1_id,"Unique row identifier, used as a primary key for record updates. This should be equivalent to the file Synapse Id unless otherwise indicated.",,,True,primary_key,,string,,"^syn\d{7,8}$",,,,
NGS RNA End Bias,"The end of the cDNA molecule that is preferentially sequenced, e.g. 3/5 prime tag/end or the full length transcript","3 Prime, 5 Prime, Full Length Transcript",,True,,,string,,,,,,
NGS RNA Reverse Transcription Primer,"An oligo to which new deoxyribonucleotides can be added by DNA polymerase [SO_0000112]. The type of primer used for reverse transcription, e.g. oligo-dT or random primer. This allows users to identify content of the cDNA library input e.g. enriched for mRNA","Oligo-dT, Poly-dT, Feature barcoding, Random",,True,,,string,,,,,,
NGS RNA RIN,A numerical assessment of the integrity of RNA based on the entire electrophoretic trace of the RNA sample including the presence or absence of degradation products. Number,,,,,,number,,,,,,
NGS RNA DV200,Represents the percentage of RNA fragments that are >200 nucleotides in size. Number,,,,,,number,,,,,,
Data Use Codes,"DUO code - A data item that is used to indicate consent permissions for datasets and/or materials, and relates to the purposes for which datasets and/or material might be removed, stored or used. Available DUO code definitions can be found here: https://mc2-center.github.io/data-models/valid_values/study/#attribute-study-data-use-codes","Pending Annotation, DUO:0000042, DUO:0000027, DUO:0000016, DUO:0000029, DUO:0000043, DUO:0000015, DUO:0000004, DUO:0000045, DUO:0000017, DUO:0000011, DUO:0000046, DUO:0000018, DUO:0000044, DUO:0000021, DUO:0000006, DUO:0000019, DUO:0000026, DUO:0000020, DUO:0000012, DUO:0000025, DUO:0000024, DUO:0000028, DUO:0000022, DUO:0000007, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7",,,CDE:0002001,,string_list,,,,,,
ProjectView Key,"Unique ProjectView_id foreign key(s) that group the resource with other components, as part of the same grant-associated studies. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
Study Key,"The unique Study_id foreign keys associated with the resource, found in the grant Study information. Used to group the resource with other components. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
PersonView Key,"Unique PersonView_id foreign key(s) that group the resource with other components, as part of the same person-associated studies. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
Consortium Key,"Unique Consortium_id foreign key(s) that group the resource with other components, as part of the same consortium-associated grants. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
Institution Key,"Unique Institution_id foreign key(s) that group the resource with other components, as part of the same institution-associated grants. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,,,,,
GrantView Key,"Unique GrantView_id foreign key(s) that group the resource with other components, as part of the same grant-associated collection. Please provide multiple values as a comma-separated list.",,,,foreign_key,,string,,CA\d{6},,,,
DatasetView Key,Unique DatasetView_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
Biospecimen Key,Unique Biospecimen_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,"-B\d{1,9}",,,,
Individual Key,Unique Individual_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,"CA\d{6}-IND\d{1,9}",,,,
PublicationView Key,Unique PublicationView_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
ToolView Key,Unique ToolView_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
EducationalResource Key,Unique EducationalResource_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
DataDSP Key,Unique DataDSP_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separated list.,,,,foreign_key,,string,,,,,,
Model Key,Unique Model_id foreign key(s) that link metadata entries as part of the same collection. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,"CA\d{6}-M\d{1,9}",,,,
NanoStringGeoMxAuxiliaryFiles Key,Unique NanoStringGeoMxAuxiliaryFiles_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMxDSPImaging Key,Unique NanoStringGeoMxDSPImaging_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMxDSPLevel1 Key,Unique NanoStringGeoMxDSPLevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMxDSPLevel2 Key,Unique NanoStringGeoMxDSPLevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMxDSPLevel3 Key,Unique NanoStringGeoMxDSPLevel3_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
NanoStringGeoMXROISegmentAnnotation Key,Unique NanoStringGeoMXROISegmentAnnotation_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingChannel Key,Unique ImagingChannel_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel1 Key,Unique ImagingLevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel2 Key,Unique ImagingLevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel3Image Key,Unique ImagingLevel3Image_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel3Segments Key,Unique ImagingLevel3Segments_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
ImagingLevel4 Key,Unique ImagingLevel4_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
SequencingLevel1 Key,Unique SequencingLevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
SequencingLevel2 Key,Unique SequencingLevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
SequencingLevel3 Key,Unique SequencingLevel3_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
SequencingRNALevel1 Key,Unique SequencingRNALevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumRNALevel1 Key,Unique 10xVisiumRNALevel1_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumRNALevel2 Key,Unique 10xVisiumRNALevel2_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumRNALevel3 Key,Unique 10xVisiumRNALevel3_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumRNALevel4 Key,Unique 10xVisiumRNALevel4_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
10xVisiumAuxiliaryFiles Key,Unique 10xVisiumAuxiliaryFiles_id foreign key(s) that link metadata entries as part of the same Dataset. Please provide multiple values as a comma-separate list.,,,,foreign_key,,string,,,,,,
Filename,"The path of a file in Synapse, relative to the project. The file associated with the path will be annotated with attributes contained in this sheet.",,,,"CDE:11284037, CRDC_CDE:11284037",,string,,,,,,
Workflow Type,Type of computational workflow used to generate the file.,,,,,,string,,,,,,
Workflow Link,Link to documentation or webpage associated with the computational workflow used to generate the file.,,,,,,string,uri,,,,,
Workflow Parameter Description,Link or text description of flags or options provided to the workflow used to generate the file.,,,,,,string,,,,,,
Software and Version,Name of software used to generate the information contained in the file. String,,,,CDE:11529072,,string,,,,,,
Workflow Version,Major version of the workflow (e.g. Cell Ranger v3.1),,,,,,string,,,,,,
Genomic Reference,Exact version of the human genome reference used in the alignment of reads (e.g. GCF_000001405.39),,,,CDE:11529031,,string,,,,,,
Genomic Reference URL,Link to human genome sequence; ftp or reference URL will be accepted.,,,,,,string,uri,,,,,
Genome Annotation URL,Link to the human genome annotation (GTF) file; ftp or reference URL will be accepted.,,,,,,string,uri,,,,,
AccessRequirementKey,The Access Requirement id(s) associated with this object. Provide multiple values as a comma-separated list.,,,,,,string,,,,,,
dataUseModifiers,"A list of data use modifiers that apply to the access requirement. Examples include GRU, IRB, etc.","Pending Annotation, DUO:0000042, DUO:0000027, DUO:0000016, DUO:0000029, DUO:0000043, DUO:0000015, DUO:0000004, DUO:0000045, DUO:0000017, DUO:0000011, DUO:0000046, DUO:0000018, DUO:0000044, DUO:0000021, DUO:0000006, DUO:0000019, DUO:0000026, DUO:0000020, DUO:0000012, DUO:0000025, DUO:0000024, DUO:0000028, DUO:0000022, DUO:0000007, DUOPlus1, DUOPlus2, DUOPlus3, DUOPlus4, DUOPlus5, DUOPlus6, DUOPlus7",,,CDE:00002002,,string_list,,,,,,
collaborationRequired,"If collaboration is required for the access requirement, provide the PI email address. Provide multiple as a comma-separated list.",,,,,,string,,,,,,
diseaseSpecificResearch,The type(s) of disease research allowed by this access requirement. Provide the MONDO ID in format MONDO:id. Provide multiple values as a comma-separated list. MONDO terms can be found here: https://ols.monarchinitiative.org/ontologies/mondo,,,,,,string,,MONDO:\d{7},,,,
geographicalRestriction,The specific geographic region(s) to which use is limited by the access requirement.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,,,,string_list,,,,,,
institutionSpecificRestriction,Institutions with specific restrictions associated with the access requirement. Provide the institution ROR ID in format ROR:id. Provide multiple entries as a comma-separated list. ROR IDs can be found here: https://ror.org/search,,,,,,string,,ROR:[a-z0-9]{9},,,,
publicationMoratorium,End date of the publication moratorium associated with the access requirement.,,,,,,string,date,,,,,
researchSpecificRestrictions,Research-specific restrictions associated with the access requirement.,,,,,,string,,,,,,
timeLimitOnUse,Time limit on the use of the data associated with the access requirement.,,,,,,number,,,,,,
userSpecificRestriction,The user-specific restrictions associated with the access requirement.,,,,,,string,,,,,,
sourceGeography,The geographical source of the data associated with the access requirement. Equivalent to DUOPlus1.,"AD, AE, AF, AG, AI, AL, AM, AO, AQ, AR, AS, AT, AU, AW, AX, AZ, BA, BB, BD, BE, BF, BG, BH, BI, BJ, BL, BM, BN, BO, BQ, BR, BS, BT, BV, BW, BY, BZ, CA, CC, CD, CF, CG, CH, CI, CK, CL, CM, CN, CO, CR, CU, CV, CW, CX, CY, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, EH, ER, ES, ET, FI, FJ, FK, FM, FO, FR, GA, GB, GD, GE, GF, GG, GH, GI, GL, GM, GN, GP, GQ, GR, GS, GT, GU, GW, GY, HK, HM, HN, HR, HT, HU, ID, IE, IL, IM, IN, IO, IQ, IR, IS, IT, JE, JM, JO, JP, KE, KG, KH, KI, KM, KN, KP, KR, KW, KY, KZ, LA, LB, LC, LI, LK, LR, LS, LT, LU, LV, LY, MA, MC, MD, ME, MF, MG, MH, MK, ML, MM, MN, MO, MP, MQ, MR, MS, MT, MU, MV, MW, MX, MY, MZ, NA, NC, NE, NF, NG, NI, NL, NO, NP, NR, NU, NZ, OM, PA, PE, PF, PG, PH, PK, PL, PM, PN, PR, PS, PT, PW, PY, QA, RE, RO, RS, RU, RW, SA, SB, SC, SD, SE, SG, SH, SI, SJ, SK, SL, SM, SN, SO, SR, SS, ST, SV, SX, SY, SZ, TC, TD, TF, TG, TH, TJ, TK, TL, TM, TN, TO, TR, TT, TV, TW, TZ, UA, UG, UM, US, UY, UZ, VA, VC, VE, VG, VI, VN, VU, WF, WS, YE, YT, ZA, ZM, ZW",,,,,string_list,,,,,,
populationType,The population studied in the research associated with the access requirement. Equivalent to DUOPlus2,,,,,,string,,,,,,
deidentificationType,The type of de-identification applied to the data associated with the access requirement. Equivalent to DUOPlus3.,"Manual, Semiautomatic, Automatic, Not Applicable",,,,,string_list,,,,,,
dataPermission,The permissions associated with the data under the access requirement. Equivalent to DUOPlus4.,"Agreement, Attestation, Award, Other",,,,,string_list,,,,,,
dataTier,The tier of data access associated with the access requirement. Equivalent to DUOPlus5.,"Anonymous, Open, Controlled, Private",,,,,string_list,,,,,,
license,The license under which the data associated with the access requirement is shared. Equivalent to DUOPlus6.,"CC0, CC_BY, CC_BY_NC, CC_BY_ND, CC_BY_SA, CC_BY_NC_ND, CC_BY_NC_SA, Apache_2, MIT, GPL_3, BSD_3_Clause",,,,,string_list,,,,,,
attribution,The attribution statement for the data associated with the access requirement. Equivalent to DUOPlus7.,,,,,,string,,,,,,
DUO:0000026,This data use modifier indicates that use is limited to use by approved users.,,userSpecificRestriction,,DUO:0000026,,string,,,,,,
DUO:0000020,This data use modifier indicates that the requestor must agree to collaboration with the primary study investigator(s).,,collaborationRequired,,DUO:0000020,,string,,,,,,
DUO:0000012,This data use modifier indicates that use is limited to studies of a certain research type.,,researchSpecificRestrictions,,DUO:0000012,,string,,,,,,
DUO:0000025,This data use modifier indicates that use is approved for a specific number of months.,,timeLimitOnUse,,DUO:0000025,,string,,,,,,
DUO:0000024,This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.,,publicationMoratorium,,DUO:0000024,,string,,,,,,
DUO:0000028,This data use modifier indicates that use is limited to use within an approved institution.,,institutionSpecificRestriction,,DUO:0000028,,string,,,,,,
DUO:0000022,This data use modifier indicates that use is limited to within a specific geographic region.,,geographicalRestriction,,DUO:0000022,,string,,,,,,
DUO:0000007,This data use permission indicates that use is allowed provided it is related to the specified disease.,,diseaseSpecificResearch,,DUO:0000007,,string,,,,,,
DUOPlus1,Source geography is relevant to governance decisions.,,sourceGeography,,,,string,,,,,,
DUOPlus2,Study population is relevant to governance decisions.,,populationType,,,,string,,,,,,
DUOPlus3,Data deidentification is relevant to governance decisions.,,deidentificationType,,,,string,,,,,,
DUOPlus4,A data permission designation is associated with the Study.,,dataPermission,,,,string,,,,,,
DUOPlus5,A data tier designation is associated with the Study.,,dataTier,,,,string,,,,,,
DUOPlus6,A license is associated with the Study.,,license,,,,string,,,,,,
DUOPlus7,Attribution conditions are associated with this Study.,,attribution,,,,string,,,,,,
Sex,"Biological sex associated with the individual, biospecimen donor, or model.","Decline to answer, Don't know, Female, Intersex, Male, None of these describe me, Prefer not to answer, Unknown, X",,True,"CDE:7572817, CRDC_CDE:7572817",,string,,,,,,
Tumor Grade,"Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.","G1, G2, G3, G4, GX, GB, High Grade, Intermediate Grade, Low Grade, Unknown, Not Reported, Not Applicable",,,"CDE:11325685, CRDC_CDE:11325685",,string,,,,,,
Last Known Disease Status,"Text term that describes the last known disease status of the individual, biospecimen donor, or model.","Biochemical evidence of disease without structural correlate, Tumor Free, Unknown, With Tumor, Not Reported, Not Applicable, Not Allowed To Collect, Distant Metastasis, Localized Disease, Regional Disease, New Tumor Event",,,"CDE:12447172, CRDC_CDE:12447172",,string,,,,,,
Treatment Type,"Text term that describes the kind of treatment administered to the individual, biospecimen donor, or model.","3-Dimensional Conformal Radiation Therapy, Allogeneic Hematopoietic Stem Cell Transplantation, Autologous Stem Cell Transplantation, Brachytherapy, Cellular Therapy, Chemotherapy, Concurrent Chemoradiation, Control, Conventional Radiotherapy, Electron Beam Radiation Therapy, External Beam Radiation Therapy, High-Dose Rate Brachytherapy, Hormone Therapy, Immunotherapy, Intensity-Modulated Radiation Therapy, Low-Dose Rate Brachytherapy, Not Reported, Organ Transplantation, Palliative Care, Pharmacotherapy, Photon Beam Radiation Therapy, Proton Beam Radiation Therapy, Radiation Therapy, Radiofrequency Ablation, Radiopharmaceutical, Stem Cell Transplant, Stereotactic Body Radiation Therapy, Stereotactic Radiosurgery, Surgical Procedure, Targeted Molecular Therapy, Unknown",,,"CDE:14737565, CRDC_CDE:14737565",,string_list,,,,,,
Treatment Response,"Text term that describes the final outcome after a treatment was administered to the individual, biospecimen donor, or model.","Complete Response, No Evidence of Disease, No Response, Not Applicable, Not Evaluable, Not Reported, Partial Response, Persistent Disease, Progressive Disease, Stable Disease, Unknown",,,"CDE:13383448, CRDC_CDE:13383448, CRDC_CDE:15179918",,string,,,,,,
Therapeutic Agent,"The name of the individual agent(s) used as part of a treatment regimen or experimental protocol (NCI Thesaurus concept name -- reference-validated, not a fixed list; see https://ncithesaurus.nci.nih.gov/).",,,,CRDC_CDE:14913015,,string_list,,,,,,
Primary Diagnosis,"Text term used to describe the histologic diagnosis of the patient, biospecimen donor, or model (NCI Thesaurus concept name -- reference-validated, not a fixed list; see https://ncithesaurus.nci.nih.gov/).",,,True,CRDC_CDE:14905532,,string,,,,,,
